artists,ranking,year
SEAN PAUL,1,2006
CHRIS BROWN,2,2006
NICKELBACK,3,2006
NE-YO,4,2006
THE FRAY,5,2006
RIHANNA,6,2006
THE PUSSYCAT DOLLS,7,2006
THE ALL-AMERICAN REJECTS,8,2006
RASCAL FLATTS,9,2006
JUSTIN TIMBERLAKE,10,2006
BEYONCE,11,2006
MARY J. BLIGE,12,2006
DANIEL POWTER,13,2006
JAMES BLUNT,14,2006
KELLY CLARKSON,15,2006
NATASHA BEDINGFIELD,16,2006
FALL OUT BOY,17,2006
T.I.,18,2006
YUNG JOC,19,2006
NELLY FURTADO,20,2006
GNARLS BARKLEY,21,2006
CHAMILLIONAIRE,22,2006
FERGIE,23,2006
CASSIE,24,2006
THE BLACK EYED PEAS,25,2006
RED HOT CHILI PEPPERS,26,2006
SHAKIRA,27,2006
NELLY,28,2006
PANIC! AT THE DISCO,29,2006
MARIAH CAREY,30,2006
DEM FRANCHIZE BOYZ,31,2006
EMINEM,32,2006
T-PAIN,33,2006
CHRISTINA AGUILERA,34,2006
CARRIE UNDERWOOD,35,2006
SNOW PATROL,36,2006
LUDACRIS,37,2006
JAMIE FOXX,38,2006
HINDER,39,2006
KT TUNSTALL,40,2006
CASCADA,41,2006
D4L,42,2006
KENNY CHESNEY,43,2006
KEYSHIA COLE,44,2006
KANYE WEST,45,2006
E-40,46,2006
JUELZ SANTANA,47,2006
NICK LACHEY,48,2006
BUSTA RHYMES,49,2006
LIL JON,50,2006
AKON,51,2006
BON JOVI,52,2006
CIARA,53,2006
FORT MINOR,54,2006
THREE 6 MAFIA,55,2006
BUBBA SPARXXX,56,2006
TIM MCGRAW,57,2006
JIBBS,58,2006
DIERKS BENTLEY,59,2006
RAY J,60,2006
JOSH TURNER,61,2006
KEITH URBAN,62,2006
LIL WAYNE,63,2006
BRAD PAISLEY,64,2006
ASHLEE SIMPSON,65,2006
CHERISH,66,2006
JOJO,67,2006
DANITY KANE,68,2006
FIELD MOB,69,2006
TIMBALAND,70,2006
DADDY YANKEE,71,2006
EVANESCENCE,72,2006
WEEZER,73,2006
MADONNA,74,2006
BLUE OCTOBER,75,2006
TOBY KEITH,76,2006
LIFEHOUSE,77,2006
WYCLEF JEAN,78,2006
YOUNG JEEZY,79,2006
BOW WOW,80,2006
YOUNG DRO,81,2006
JOHN MAYER,82,2006
PAUL WALL,83,2006
KELIS,84,2006
CHINGY,85,2006
GWEN STEFANI,86,2006
KRAYZIE BONE,87,2006
GEORGE STRAIT,88,2006
SLIM THUG,89,2006
TRACE ADKINS,90,2006
GORILLAZ,91,2006
TAYLOR HICKS,92,2006
SNOOP DOGG,93,2006
LITTLE BIG TOWN,94,2006
PINK,95,2006
GOO GOO DOLLS,96,2006
FAITH HILL,97,2006
TEDDY GEIGER,98,2006
THE WRECKERS,99,2006
AKON,1,2007
FERGIE,2,2007
JUSTIN TIMBERLAKE,3,2007
BEYONCE,4,2007
T-PAIN,5,2007
DAUGHTRY,6,2007
CARRIE UNDERWOOD,7,2007
AVRIL LAVIGNE,8,2007
TIMBALAND,9,2007
RIHANNA,10,2007
GWEN STEFANI,11,2007
NELLY FURTADO,12,2007
NICKELBACK,13,2007
FALL OUT BOY,14,2007
MAROON 5,15,2007
PLAIN WHITE T'S,16,2007
MIMS,17,2007
PINK,18,2007
T.I.,19,2007
KANYE WEST,20,2007
UNK,21,2007
LUDACRIS,22,2007
SHOP BOYZ,23,2007
THE FRAY,24,2007
CIARA,25,2007
NE-YO,26,2007
SEAN KINGSTON,27,2007
SOULJA BOY TELL'EM,28,2007
LLOYD,29,2007
HINDER,30,2007
BOW WOW,31,2007
JIM JONES,32,2007
CHRIS BROWN,33,2007
LINKIN PARK,34,2007
RASCAL FLATTS,35,2007
JAY-Z,36,2007
MY CHEMICAL ROMANCE,37,2007
GYM CLASS HEROES,38,2007
BRAD PAISLEY,39,2007
DIDDY,40,2007
KENNY CHESNEY,41,2007
HUEY,42,2007
TIM MCGRAW,43,2007
ELLIOTT YAMIN,44,2007
TAYLOR SWIFT,45,2007
CHRISTINA AGUILERA,46,2007
SNOOP DOGG,47,2007
JOHN MAYER,48,2007
OMARION,49,2007
KELLY CLARKSON,50,2007
KEYSHIA COLE,51,2007
ROBIN THICKE,52,2007
R. KELLY,53,2007
HURRICANE CHRIS,54,2007
THE RED JUMPSUIT APPARATUS,55,2007
FABOLOUS,56,2007
YOUNG JEEZY,57,2007
THE ALL-AMERICAN REJECTS,58,2007
50 CENT,59,2007
SNOW PATROL,60,2007
YUNG JOC,61,2007
LIL WAYNE,62,2007
KEITH URBAN,63,2007
AMY WINEHOUSE,64,2007
RODNEY ATKINS,65,2007
SUGARLAND,66,2007
MUSIQ SOULCHILD,67,2007
COLBIE CAILLAT,68,2007
J. HOLIDAY,69,2007
FAT JOE,70,2007
ALICIA KEYS,71,2007
PLIES,72,2007
BOYS LIKE GIRLS,73,2007
GEORGE STRAIT,74,2007
LIL' BOOSIE,75,2007
RED HOT CHILI PEPPERS,76,2007
HELLOGOODBYE,77,2007
LIFEHOUSE,78,2007
PRETTY RICKY,79,2007
BABY BOY DA PRINCE,80,2007
BONE THUGS-N-HARMONY,81,2007
THREE DAYS GRACE,82,2007
PAULA DEANDA,83,2007
EMINEM,84,2007
JONAS BROTHERS,85,2007
FINGER ELEVEN,86,2007
TOBY KEITH,87,2007
RICH BOY,88,2007
MARY J. BLIGE,89,2007
FANTASIA,90,2007
HANNAH MONTANA,91,2007
KERI HILSON,92,2007
BIG & RICH,93,2007
JASON ALDEAN,94,2007
DJ KHALED,95,2007
AUGUSTANA,96,2007
BRITNEY SPEARS,97,2007
EVE,98,2007
PATRICK STUMP,99,2007
KILO,100,2007
CHRIS BROWN,1,2008
RIHANNA,2,2008
LIL WAYNE,3,2008
TAYLOR SWIFT,4,2008
ALICIA KEYS,5,2008
LEONA LEWIS,6,2008
T-PAIN,7,2008
FLO RIDA,8,2008
JORDIN SPARKS,9,2008
KANYE WEST,10,2008
KATY PERRY,11,2008
NE-YO,12,2008
T.I.,13,2008
COLBIE CAILLAT,14,2008
TIMBALAND,15,2008
SARA BAREILLES,16,2008
NATASHA BEDINGFIELD,17,2008
COLDPLAY,18,2008
FERGIE,19,2008
MILEY CYRUS,20,2008
MARIAH CAREY,21,2008
USHER,22,2008
ONEREPUBLIC,23,2008
BRITNEY SPEARS,24,2008
JONAS BROTHERS,25,2008
PINK,26,2008
CARRIE UNDERWOOD,27,2008
AKON,28,2008
SEAN KINGSTON,29,2008
THE-DREAM,30,2008
KEYSHIA COLE,31,2008
PLIES,32,2008
FINGER ELEVEN,33,2008
JESSE MCCARTNEY,34,2008
BRAD PAISLEY,35,2008
JASON MRAZ,36,2008
SOULJA BOY TELL'EM,37,2008
DAUGHTRY,38,2008
YOUNG JEEZY,39,2008
METRO STATION,40,2008
DAVID COOK,41,2008
YUNG BERG,42,2008
J. HOLIDAY,43,2008
M.I.A.,44,2008
SUGARLAND,45,2008
DANITY KANE,46,2008
GEORGE STRAIT,47,2008
PARAMORE,48,2008
MADONNA,49,2008
BUCKCHERRY,50,2008
KENNY CHESNEY,51,2008
JOHN MAYER,52,2008
THE PUSSYCAT DOLLS,53,2008
SNOOP DOGG,54,2008
MAROON 5,55,2008
RAY J,56,2008
LINKIN PARK,57,2008
3 DOORS DOWN,58,2008
KARDINAL OFFISHALL,59,2008
ALAN JACKSON,60,2008
RASCAL FLATTS,61,2008
SECONDHAND SERENADE,62,2008
STATIC MAJOR,63,2008
TREY SONGZ,64,2008
COLBY O'DONIS,65,2008
MARY J. BLIGE,66,2008
DAVID ARCHULETA,67,2008
MONTGOMERY GENTRY,68,2008
ESTELLE,69,2008
BEYONCE,70,2008
NICKELBACK,71,2008
WEBBIE,72,2008
RICK ROSS,73,2008
BABY BASH,74,2008
TOBY KEITH,75,2008
KEITH URBAN,76,2008
KID ROCK,77,2008
GAVIN DEGRAW,78,2008
JAZMINE SULLIVAN,79,2008
WYCLEF JEAN,80,2008
